2026-05-20 16:57:03.433881 - ============================================================
2026-05-20 16:57:03.445512 - ===== BEX ASSET VALIDATION START =====
2026-05-20 16:57:03.450259 - Total master assets: 23512
2026-05-20 16:57:03.454932 - START=0, LIMIT=500
2026-05-20 16:57:03.459499 - Batch count: 500
2026-05-20 16:57:03.464534 - ============================================================
2026-05-20 16:57:04.541257 - 0G-USD | crypto | verified | rows=241 | last=2026-05-20 | reason=verified_history
2026-05-20 16:57:06.199688 - 0NE-USD | crypto | unsupported | rows=1 | last=2025-06-13 | reason=stale_history
2026-05-20 16:57:07.852473 - 0XBTC-USD | crypto | unsupported | rows=1 | last=2026-05-20 | reason=too_little_history
2026-05-20 16:57:10.625854 - 0XDP-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:57:12.287791 - 0XGAS-USD | crypto | verified | rows=366 | last=2026-05-20 | reason=verified_history
2026-05-20 16:57:14.001748 - 0XS-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:57:16.852555 - 1000BONK-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:57:18.999299 - 1000CHEEMS-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:57:21.533482 - 1000PEPPER-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:57:23.842214 - 1000RATS-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:57:25.458574 - 1000SATS-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:57:27.697432 - 1000SHIB-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:57:29.360789 - 10SET-USD | crypto | verified | rows=366 | last=2026-05-20 | reason=verified_history
2026-05-20 16:57:31.576287 - 11AM-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:57:33.616337 - 1ART-USD | crypto | unsupported | rows=343 | last=2026-04-27 | reason=stale_history
2026-05-20 16:57:35.789690 - 1BNB-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:57:37.459274 - 1CAT-USD | crypto | verified | rows=366 | last=2026-05-20 | reason=verified_history
2026-05-20 16:57:39.611927 - 1DEV-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:57:41.323225 - 1EARTH-USD | crypto | unsupported | rows=272 | last=2026-02-15 | reason=stale_history
2026-05-20 16:57:43.008860 - 1FLR-USD | crypto | verified | rows=366 | last=2026-05-20 | reason=verified_history
2026-05-20 16:57:44.706159 - 1HUB-USD | crypto | unsupported | rows=200 | last=2025-12-05 | reason=stale_history
2026-05-20 16:57:46.400850 - 1INCH-USD | crypto | verified | rows=366 | last=2026-05-20 | reason=verified_history
2026-05-20 16:57:48.038063 - 1IQ-USD | crypto | unsupported | rows=14 | last=2025-11-28 | reason=stale_history
2026-05-20 16:57:50.235722 - 1LY-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:57:51.869944 - 1MBABYDOGE-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:57:53.490871 - 1MIL-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:57:55.085379 - 1MT-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:57:56.979968 - 1R0R-USD | crypto | verified | rows=359 | last=2026-05-20 | reason=verified_history
2026-05-20 16:57:59.145972 - 1RUSD-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:58:01.303594 - 1TO1-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:58:03.466340 - 2CRV-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:58:05.311540 - 2DAI-USD | crypto | unsupported | rows=103 | last=2025-08-30 | reason=stale_history
2026-05-20 16:58:07.005498 - 2Z-USD | crypto | verified | rows=231 | last=2026-05-20 | reason=verified_history
2026-05-20 16:58:08.881305 - 3CRV-USD | crypto | verified | rows=173 | last=2026-05-20 | reason=verified_history
2026-05-20 16:58:10.964903 - 3EYES-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:58:12.616334 - 3ULL-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:58:14.366761 - 4CHAN-USD | crypto | verified | rows=248 | last=2026-05-20 | reason=verified_history
2026-05-20 16:58:16.036484 - 4EVER-USD | crypto | verified | rows=366 | last=2026-05-20 | reason=verified_history
2026-05-20 16:58:18.149078 - 4GS-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:58:20.371914 - 4NON-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:58:22.475443 - 4TB-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:58:24.138223 - 4TOKEN-USD | crypto | unsupported | rows=125 | last=2025-10-14 | reason=stale_history
2026-05-20 16:58:26.245750 - 4TOOL-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:58:28.483790 - 50STATES-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:58:30.478195 - 5IRE-USD | crypto | verified | rows=366 | last=2026-05-20 | reason=verified_history
2026-05-20 16:58:32.323505 - 5PT-USD | crypto | verified | rows=246 | last=2026-05-20 | reason=verified_history
2026-05-20 16:58:34.412880 - 6IXROOMS-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:58:36.520854 - 8CHAN-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:58:38.188803 - 8PAY-USD | crypto | unsupported | rows=274 | last=2026-02-17 | reason=stale_history
2026-05-20 16:58:39.823039 - 99BTC-USD | crypto | verified | rows=366 | last=2026-05-20 | reason=verified_history
2026-05-20 16:58:41.970639 - 99CENTS-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:58:43.682762 - 9BIT-USD | crypto | verified | rows=141 | last=2026-05-20 | reason=verified_history
2026-05-20 16:58:45.823843 - 9INCH-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:58:47.443500 - 9MM-USD | crypto | verified | rows=366 | last=2026-05-20 | reason=verified_history
2026-05-20 16:58:49.510277 - 9TO5-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:58:51.635483 - A0T-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:58:53.843836 - A0X-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:58:56.110645 - A16G-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:58:58.234447 - A1C-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:58:59.890563 - A1X-USD | crypto | verified | rows=366 | last=2026-05-20 | reason=verified_history
2026-05-20 16:59:01.678074 - A2Z-USD | crypto | verified | rows=285 | last=2026-05-20 | reason=verified_history
2026-05-20 16:59:03.774742 - A3A-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:59:05.457454 - A7A5-USD | crypto | verified | rows=365 | last=2026-05-20 | reason=verified_history
2026-05-20 16:59:07.201189 - A8-USD | crypto | verified | rows=366 | last=2026-05-20 | reason=verified_history
2026-05-20 16:59:08.894979 - AA-USD | crypto | unsupported | rows=81 | last=2025-08-08 | reason=stale_history
2026-05-20 16:59:10.582846 - AAA-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:59:12.231221 - AAAHHM-USD | crypto | unsupported | rows=295 | last=2026-03-10 | reason=stale_history
2026-05-20 16:59:13.901797 - AAAI-USD | crypto | verified | rows=340 | last=2026-05-14 | reason=verified_history
2026-05-20 16:59:15.605116 - AABL-USD | crypto | verified | rows=366 | last=2026-05-20 | reason=verified_history
2026-05-20 16:59:17.792189 - AAGG-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:59:19.539280 - AAI-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:59:21.771332 - AALIEN-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:59:23.602349 - AARK-USD | crypto | verified | rows=366 | last=2026-05-20 | reason=verified_history
2026-05-20 16:59:25.346723 - AART-USD | crypto | verified | rows=366 | last=2026-05-20 | reason=verified_history
2026-05-20 16:59:26.990043 - AAST-USD | crypto | verified | rows=366 | last=2026-05-20 | reason=verified_history
2026-05-20 16:59:29.003141 - AAXN-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:59:30.689373 - AB-USD | crypto | verified | rows=366 | last=2026-05-20 | reason=verified_history
2026-05-20 16:59:32.791875 - ABAL-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:59:34.429411 - ABBC-USD | crypto | verified | rows=366 | last=2026-05-20 | reason=verified_history
2026-05-20 16:59:36.149984 - ABBY-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:59:37.833485 - ABC-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:59:39.877968 - ABCNURI-USD | crypto | unsupported | rows=0 | last=None | reason=no_history
2026-05-20 16:59:41.604801 - ABDS-USD | crypto | verified | rows=366 | last=2026-05-20 | reason=verified_history
