000 | numeric_heavy | 000-USD | provider=coingecko, coingecko_id=000-capital, symbol=000, name=000 Capital, asset_type=crypto
01111010011110000110001001110100 | invalid_chars | 01111010011110000110001001110100-USD | provider=coingecko, coingecko_id=01111010011110000110001001110100-token, symbol=01111010011110000110001001110100, name=01111010011110000110001001110100, asset_type=crypto
1234567891 | numeric_heavy | 1234567891-USD | provider=coingecko, coingecko_id=01112131415161718192021222324252-token, symbol=1234567891, name=01112131415161718192021222324252, asset_type=crypto
01 | numeric_heavy | 01-USD | provider=coingecko, coingecko_id=01-token, symbol=01, name=01, asset_type=crypto
035HP! | invalid_chars | 035HP!-USD | provider=coingecko, coingecko_id=035hanpanaitte, symbol=035HP!, name=035HanPanaitte!, asset_type=crypto
0X0 | numeric_heavy | 0X0-USD | provider=coingecko, coingecko_id=0x0-ai-ai-smart-contract, symbol=0X0, name=0x0, asset_type=crypto
1000BTT | numeric_heavy | 1000BTT-USD | provider=coingecko, coingecko_id=1000btt, symbol=1000BTT, name=1000BTT, asset_type=crypto
1000CAT | numeric_heavy | 1000CAT-USD | provider=coingecko, coingecko_id=1000cat, symbol=1000CAT, name=1000CAT, asset_type=crypto
1000MOG | numeric_heavy | 1000MOG-USD | provider=coingecko, coingecko_id=1000mog, symbol=1000MOG, name=1000MOG, asset_type=crypto
1000X | numeric_heavy | 1000X-USD | provider=coingecko, coingecko_id=1000x-by-virtuals, symbol=1000X, name=1000x by Virtuals, asset_type=crypto
100¥ | invalid_chars | 100¥-USD | provider=coingecko, coingecko_id=100-token, symbol=100¥, name=100¥, asset_type=crypto
100X | numeric_heavy | 100X-USD | provider=coingecko, coingecko_id=100xdarren, symbol=100X, name=100xDarren, asset_type=crypto
赵长娥 | invalid_chars | 赵长娥-USD | provider=coingecko, coingecko_id=-11, symbol=赵长娥, name=赵长娥, asset_type=crypto
老板 | invalid_chars | 老板-USD | provider=coingecko, coingecko_id=-12, symbol=老板, name=BOSS, asset_type=crypto
19 | numeric_heavy | 19-USD | provider=coingecko, coingecko_id=19-token, symbol=19, name=19, asset_type=crypto
1-COIN-CAN-CHANGE-YOUR-LIFE | invalid_chars | 1-COIN-CAN-CHANGE-YOUR-LIFE-USD | provider=coingecko, coingecko_id=1-coin-can-change-your-life, symbol=1-COIN-CAN-CHANGE-YOUR-LIFE, name=1 Coin Can Change Your Life, asset_type=crypto
$1 | invalid_chars | $1-USD | provider=coingecko, coingecko_id=1-dollar-sol-coin, symbol=$1, name=$1, asset_type=crypto
YV1INCH | keyword:vault | YV1INCH-USD | provider=coingecko, coingecko_id=1inch-yvault, symbol=YV1INCH, name=1INCH yVault, asset_type=crypto
1% | invalid_chars | 1%-USD | provider=coingecko, coingecko_id=1-percent, symbol=1%, name=1%, asset_type=crypto
@BTC25 | invalid_chars | @BTC25-USD | provider=coingecko, coingecko_id=1rus-btc25, symbol=@BTC25, name=@BTC25, asset_type=crypto
1 | invalid_chars | 1-USD | provider=coingecko, coingecko_id=1-token, symbol=1, name=1, asset_type=crypto
1 | invalid_chars | 1-USD | provider=coingecko, coingecko_id=1-token-2, symbol=1, name=1, asset_type=crypto
2016 | numeric_heavy | 2016-USD | provider=coingecko, coingecko_id=2016-token, symbol=2016, name=2016, asset_type=crypto
2026 | numeric_heavy | 2026-USD | provider=coingecko, coingecko_id=2026-token, symbol=2026, name=2026, asset_type=crypto
2077 | numeric_heavy | 2077-USD | provider=coingecko, coingecko_id=2077-code, symbol=2077, name=2077 CODE, asset_type=crypto
